Car15,,Drive,Trans,Year,Cd,"Ft2,20",Lbsm,1st,2nd,3rd,4th,5th,Final Drive,# Gears,Width Side Wall (mm),Aspect Side Wall (mm),Rim Radius (in)
Acura  Integra RS,,FWD,Factory,1986, 0.32 , 20.0 ," 2,640 ", 3.17 , 1.94 , 1.35 , 1.03 , 0.85 , 4.21 ,5,195,60,14
BMW 318IS,,RWD,Factory,1991, 0.33 , 20.0 ," 2,785 ", 2.40 , 1.47 , 1.00 , 0.72 ,, 4.44 ,4,195,65,14
Chevrolet Beretta GT,,FWD,Factory,1990, 0.32 , 21.0 ," 2,925 ", 3.73 , 2.18 , 1.33 , 0.92 , 0.74 , 3.83 ,5,205,60,15
Chevrolet Corvette,,RWD,Factory,1975, 0.48 , 20.0 ," 2,910 ", 2.20 , 1.31 , 1.00 ,,, 3.70 ,3,170,90,17
Factory Five 818,,RWD,T5,2017, 0.34 , 17.9 ," 2,679 ", 3.64 , 2.38 , 1.76 , 1.35 , 0.97 , 3.90 ,5,255,35,18
Factory Five Mk IV,,RWD,T5,2017, 0.50 , 17.9 ," 2,200 ", 3.41 , 2.05 , 1.36 , 1.00 , 0.72 , 3.55 ,5,245,45,17
Generic Aero Small Car-FWD,,FWD,NA,NA, 0.30 , 18.0 ," 2,500 ", 3.43 , 2.23 , 1.47 , 1.09 , 0.80 , 3.50 ,5,185,65,14
Generic Aero Small Car-RWD,,RWD,NA,NA, 0.30 , 18.0 ," 2,000 ", 3.43 , 2.23 , 1.47 , 1.09 , 0.80 , 3.50 ,5,185,65,14
Generic Non-Aero Small Car-FWD,,FWD,NA,NA, 0.35 , 18.0 ," 2,500 ", 3.43 , 2.23 , 1.47 , 1.09 , 0.80 , 3.50 ,5,185,65,14
Generic Non-Aero Small Car-RWD,,RWD,NA,NA, 0.35 , 18.0 ," 2,000 ", 3.43 , 2.23 , 1.47 , 1.09 , 0.80 , 3.50 ,5,185,65,14
Generic Non-Aero Small Truck,,RWD,NA,NA, 0.46 , 24.0 ," 3,000 ", 3.90 , 2.05 , 1.35 , 0.99 , 0.83 , 3.50 ,5,205,75,15
Porsche  912,,RWD,Factory,1965, 0.38 , 18.4 ," 2,400 ", 3.09 , 1.89 , 1.32 , 1.04 , 0.86 , 4.43 ,5,165,80,15
Toyota  Corolla LE,,FWD,Factory,1999, 0.31 , 18.0 ," 2,679 ", 3.17 , 1.90 , 0.88 , 0.72 ,, 3.72 ,4,185,65,14
Volkswagan Super Beetle,,RE-RWD,Factory,1971, 0.41 , 18.0 ," 1,808 ", 3.80 , 2.06 , 1.26 , 0.88 ,, 3.88 ,4,165,80,15
Volkswagan VW Thing,,RE-RWD,Factory,1968, 0.50 , 19.0 ," 1,920 ", 3.78 , 2.06 , 1.26 , 0.93 ,, 4.12 ,4,165,80,15
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
