Motors,34-96,34X2-96,35-144,35X2-144,50-96,51-144
Torque (ft-lbf)25, 106.6 , 213.3 , 94.4 , 188.8 , 120.5 , 108.0 
Power (hp)25, 65.0 , 130.0 , 82.6 , 165.2 , 71.4 , 88.0 
Mass (lbm), 115 , 150 , 115 , 150 , 115 , 115 
T4,0.1229,0.2643,0,0,0.098,0
T3,-1.5328,-3.3269,-0.1442,-0.3227,-1.1454,-0.1431
T2,3.4916,8.0452,0.1002,0.6706,1.3447,-0.0859
T1,-3.7514,-8.6119,0.4576,-0.6054,-1.0117,0.0774
T0,105.38,210.59,92.756,185.57,119,105.13
Max RPM," 8,000 "," 8,000 "," 8,000 "," 8,000 "," 8,000 "," 8,000 "
RPM @ Max Power," 3,500 "," 3,500 "," 5,000 "," 5,000 "," 3,500 "," 5,000 "
Price," $3,625 "," $7,900 "," $4,449 "," $8,900 "," $3,950 "," $4,700 "
,,,,,,
,,,,,,
,,,,,,
,,,,,,
